"Ticker","Nil_col","Name","Price","P.E","PEG","Div.share","Price.Book","Change_from_50_day_MA","Change_from_200_day_MA","Change_fr_52_week_low","Change_fr_52_week_high","link","fifty_two_weekrange","fifty_two_weekhigh","fifty_two_weeklow"
"FILL","Nil","iShares MSCI Global Energy Prod",21.55,NA,NA,NA,NA,NA,NA,0.209994385176867,-0.00919540229885054,"https://finance.yahoo.com/quote/FILL?p=FILL","17.81 - 21.75",21.75,17.81
"FKO","Nil","First Trust South Korea AlphaDE",29.54,NA,NA,NA,NA,NA,NA,0.350708733424783,0,"https://finance.yahoo.com/quote/FKO?p=FKO","21.87 - 29.54",29.54,21.87
"FTA","Nil","First Trust Large Cap Value Alp",54.63,NA,NA,NA,NA,NA,NA,0.165067178502879,-0.00978792822185969,"https://finance.yahoo.com/quote/FTA?p=FTA","46.89 - 55.17",55.17,46.89
"FXI","Nil","iShares China Large-Cap ETF",46.17,NA,NA,NA,NA,NA,NA,0.31763698630137,-0.0452853598014888,"https://finance.yahoo.com/quote/FXI?p=FXI","35.04 - 48.36",48.36,35.04
"FXN","Nil","First Trust Energy AlphaDEX Fun",15.48,NA,NA,NA,NA,NA,NA,0.263673469387755,-0.0947368421052632,"https://finance.yahoo.com/quote/FXN?p=FXN","12.25 - 17.10",17.1,12.25
"FXO","Nil","First Trust Financials AlphaDEX",31.32,NA,NA,NA,NA,NA,NA,0.166480446927374,-0.0150943396226415,"https://finance.yahoo.com/quote/FXO?p=FXO","26.85 - 31.80",31.8,26.85
"G3B.SI","Nil","Nikko AM STI ETF",3.55,"N/A",NA,NA,NA,NA,NA,0.224137931034483,-0.013888888888889,"https://finance.yahoo.com/quote/G3B.SI?p=G3B.SI","2.90 - 3.60",3.6,2.9
"GBPSGD=X","Nil","GBP/SGD",1.80433,NA,NA,NA,NA,NA,NA,-0.00152179206233262,0.00408460815029572,"https://finance.yahoo.com/quote/GBPSGD=X?p=GBPSGD=X","1.80708 - 1.79699",1.79699,1.80708
"GDXJ","Nil","VanEck Vectors Junior Gold Mine",34.13,NA,NA,NA,NA,NA,NA,0.163654960790999,-0.206463613113229,"https://finance.yahoo.com/quote/GDXJ?p=GDXJ","29.33 - 43.01",43.01,29.33
"GGGG","Nil","Global X Pure Gold Miners ETF",0,"N/A",NA,NA,NA,NA,NA,NA,NA,"https://finance.yahoo.com/quote/GGGG?p=GGGG","",NA,NA
"GLD","Nil","SPDR Gold Trust",123.66,NA,NA,NA,NA,NA,NA,0.13065740148121,-0.0363154613466334,"https://finance.yahoo.com/quote/GLD?p=GLD","109.37 - 128.32",128.32,109.37
"GLRE.L","Nil","SSGA SPDR ETFS EUROPE I PLC SPD",36.835,NA,NA,NA,NA,NA,NA,0.401956306614904,-0.00633935797140543,"https://finance.yahoo.com/quote/GLRE.L?p=GLRE.L","26.274 - 37.070",37.07,26.274
"GMF","Nil","SPDR S&amp;P Emerging Asia Pacific ",104.58,NA,NA,NA,NA,NA,NA,0.385716178614019,-0.0206031091964788,"https://finance.yahoo.com/quote/GMF?p=GMF","75.47 - 106.78",106.78,75.47
"GMM","Nil","SPDR S&amp;P Emerging Markets ETF",74.87,"N/A",NA,NA,NA,NA,NA,1.04451119606772,-0.00106737825216809,"https://finance.yahoo.com/quote/GMM?p=GMM","36.62 - 74.95",74.95,36.62
"GULF","Nil","WisdomTree Middle East Dividend",17.615,"N/A",NA,NA,NA,NA,NA,0.0721241631162507,-0.0437024972855593,"https://finance.yahoo.com/quote/GULF?p=GULF","16.430 - 18.420",18.42,16.43
"GUR","Nil","SPDR S&amp;P Emerging Europe ETF",30.24,"N/A",NA,NA,NA,NA,NA,0.114633247327682,-0.0200907323395982,"https://finance.yahoo.com/quote/GUR?p=GUR","27.13 - 30.86",30.86,27.13
"GXC","Nil","SPDR S&amp;P China ETF",107.19,NA,NA,NA,NA,NA,NA,0.480933959657364,-0.0482152370804476,"https://finance.yahoo.com/quote/GXC?p=GXC","72.38 - 112.62",112.62,72.38
"HAO","Nil","Guggenheim China Small Cap Inde",29.58,NA,NA,NA,NA,NA,NA,0.331832507879333,-0.0383615084525359,"https://finance.yahoo.com/quote/HAO?p=HAO","22.21 - 30.76",30.76,22.21
"IDHQ","Nil","PowerShares S&amp;P International D",24.17,NA,NA,NA,NA,NA,NA,0.2674357629785,-0.00534979423868309,"https://finance.yahoo.com/quote/IDHQ?p=IDHQ","19.07 - 24.30",24.3,19.07
"IEER.L","Nil","ISHARES PLC ISHARES MSCI E.EUR ",1779.25,"N/A",NA,NA,NA,NA,NA,110.551724137931,0.00807365439093484,"https://finance.yahoo.com/quote/IEER.L?p=IEER.L","15.95 - 1,765.00",1765,15.95
"IGLO.L","Nil","ISHARES III PLC ISHRS GLOBAL GO",108.745,NA,NA,NA,NA,NA,NA,0.332986025986762,-0.012755333635951,"https://finance.yahoo.com/quote/IGLO.L?p=IGLO.L","81.580 - 110.150",110.15,81.58
"ILF","Nil","iShares Latin America 40 ETF",34.17,NA,NA,NA,NA,NA,NA,0.220357142857143,-0.0628085573230938,"https://finance.yahoo.com/quote/ILF?p=ILF","28.00 - 36.46",36.46,28
"IPW","Nil","SPDR S&amp;P International Energy S",17.8,"N/A",NA,NA,NA,NA,NA,0.0452143276570757,-0.077720207253886,"https://finance.yahoo.com/quote/IPW?p=IPW","17.03 - 19.30",19.3,17.03
"ISF.L","Nil","ISHARES PLC ISHARES CORE FTSE10",761.3,NA,NA,NA,NA,NA,NA,107.601997146933,0,"https://finance.yahoo.com/quote/ISF.L?p=ISF.L","7.01 - 761.30",761.3,7.01
"ISRA","Nil","VanEck Vectors Israel ETF",30.37,NA,NA,NA,NA,NA,NA,0.131941856131197,-0.0290920716112532,"https://finance.yahoo.com/quote/ISRA?p=ISRA","26.83 - 31.28",31.28,26.83
"IXG","Nil","iShares Global Financial ETF",69.93,NA,NA,NA,NA,NA,NA,0.203200275292498,-0.00991080277502462,"https://finance.yahoo.com/quote/IXG?p=IXG","58.12 - 70.63",70.63,58.12
"JKF","Nil","iShares Morningstar Large-Cap  ",105.59,NA,NA,NA,NA,NA,NA,0.133669744470689,-0.012069610778443,"https://finance.yahoo.com/quote/JKF?p=JKF","93.14 - 106.88",106.88,93.14
"JKI","Nil","iShares Morningstar Mid-Cap ETF",159.49,NA,NA,NA,NA,NA,NA,0.116095171448565,-0.00882480889938467,"https://finance.yahoo.com/quote/JKI?p=JKI","142.90 - 160.91",160.91,142.9
"KBWD","Nil","PowerShares KBW High Dividend Y",23.61,"N/A",NA,NA,NA,NA,NA,0.0373462214411247,-0.0533279871692062,"https://finance.yahoo.com/quote/KBWD?p=KBWD","22.76 - 24.94",24.94,22.76
